mode_id,fault_bus,clear_time,wind_area1_pct,wind_area2_pct,solar_area1_pct,solar_area2_pct,load_area1,load_area2,gen_dispatch_bias,success,stable,severity,f_angle,f_freq,f_voltage
0,2,0.05,0.058452087902888,0.0671222431204959,0.2492121031201329,0.0979539479564109,0.8122881009672527,0.8193048497088172,0.0183582904470144,True,False,0.5371028308400418,0.4612656807812451,0.2301708711004444,0.995709090697233
0,2,0.1,0.058452087902888,0.0671222431204959,0.2492121031201329,0.0979539479564109,0.8122881009672527,0.8193048497088172,0.0183582904470144,True,False,0.6655366831387721,0.6015253747438271,0.4630875720580683,0.996008411009366
0,2,0.15,0.058452087902888,0.0671222431204959,0.2492121031201329,0.0979539479564109,0.8122881009672527,0.8193048497088172,0.0183582904470144,True,False,0.8792956845492224,0.8226154355800497,0.8757450749984166,0.9962067920383736
0,2,0.2,0.058452087902888,0.0671222431204959,0.2492121031201329,0.0979539479564109,0.8122881009672527,0.8193048497088172,0.0183582904470144,True,False,0.9130173629727648,1.0,0.6556676146543197,0.9964018372367404
0,2,0.3,0.058452087902888,0.0671222431204959,0.2492121031201329,0.0979539479564109,0.8122881009672527,0.8193048497088172,0.0183582904470144,True,False,0.9641902398268032,1.0,0.8567609593072127,1.0
0,3,0.05,0.058452087902888,0.0671222431204959,0.2492121031201329,0.0979539479564109,0.8122881009672527,0.8193048497088172,0.0183582904470144,True,False,0.4538506673761669,0.3595469193065524,0.1009500478755249,0.9953587830160382
0,3,0.1,0.058452087902888,0.0671222431204959,0.2492121031201329,0.0979539479564109,0.8122881009672527,0.8193048497088172,0.0183582904470144,True,False,0.4671463362951882,0.3659221731223064,0.1411843099611971,0.9955566889749428
0,3,0.15,0.058452087902888,0.0671222431204959,0.2492121031201329,0.0979539479564109,0.8122881009672527,0.8193048497088172,0.0183582904470144,True,False,0.4817056046570825,0.3674824953411302,0.196199635389771,0.9956577925562988
0,3,0.2,0.058452087902888,0.0671222431204959,0.2492121031201329,0.0979539479564109,0.8122881009672527,0.8193048497088172,0.0183582904470144,True,False,0.4986322815247588,0.37438087837827,0.2500327348695492,0.995734634472946
0,3,0.3,0.058452087902888,0.0671222431204959,0.2492121031201329,0.0979539479564109,0.8122881009672527,0.8193048497088172,0.0183582904470144,True,False,0.5400671301241884,0.3989151514638006,0.3665828470164172,0.9958553705527348
0,4,0.05,0.058452087902888,0.0671222431204959,0.2492121031201329,0.0979539479564109,0.8122881009672527,0.8193048497088172,0.0183582904470144,True,False,0.454089439293958,0.3595469193065524,0.1014876745567328,0.9957762440059946
0,4,0.1,0.058452087902888,0.0671222431204959,0.2492121031201329,0.0979539479564109,0.8122881009672527,0.8193048497088172,0.0183582904470144,True,False,0.4546826485815181,0.3595469193065524,0.103669685685233,0.9959670700277344
0,4,0.15,0.058452087902888,0.0671222431204959,0.2492121031201329,0.0979539479564109,0.8122881009672527,0.8193048497088172,0.0183582904470144,True,False,0.4633726409701949,0.3595469193065524,0.1383308735281261,0.9960658517395488
0,4,0.2,0.058452087902888,0.0671222431204959,0.2492121031201329,0.0979539479564109,0.8122881009672527,0.8193048497088172,0.0183582904470144,True,False,0.4722258507873533,0.3595469193065524,0.173666967382239,0.9961425971540692
0,4,0.3,0.058452087902888,0.0671222431204959,0.2492121031201329,0.0979539479564109,0.8122881009672527,0.8193048497088172,0.0183582904470144,True,False,0.4907888585768512,0.3595469193065524,0.2477952674187165,0.9962663282755834
0,5,0.05,0.058452087902888,0.0671222431204959,0.2492121031201329,0.0979539479564109,0.8122881009672527,0.8193048497088172,0.0183582904470144,True,False,0.5155071895621808,0.4369453465953387,0.1915311066650176,0.996606958393028
0,5,0.1,0.058452087902888,0.0671222431204959,0.2492121031201329,0.0979539479564109,0.8122881009672527,0.8193048497088172,0.0183582904470144,True,False,0.6207275118920523,0.5521523371415985,0.3817324228686942,0.996872950416318
0,5,0.15,0.058452087902888,0.0671222431204959,0.2492121031201329,0.0979539479564109,0.8122881009672527,0.8193048497088172,0.0183582904470144,True,False,0.7580004040806612,0.694828913100286,0.6452873059521096,0.9970564841699632
0,5,0.2,0.058452087902888,0.0671222431204959,0.2492121031201329,0.0979539479564109,0.8122881009672527,0.8193048497088172,0.0183582904470144,True,False,0.9349415025277474,1.0,0.7425206537621811,0.9972453563488086
0,5,0.3,0.058452087902888,0.0671222431204959,0.2492121031201329,0.0979539479564109,0.8122881009672527,0.8193048497088172,0.0183582904470144,True,False,0.8884352866795885,1.0,0.5560351333037978,0.9977060134145562
0,6,0.05,0.058452087902888,0.0671222431204959,0.2492121031201329,0.0979539479564109,0.8122881009672527,0.8193048497088172,0.0183582904470144,True,False,0.956585710647955,1.0,0.8263428425918242,0.9999999999999958
0,6,0.1,0.058452087902888,0.0671222431204959,0.2492121031201329,0.0979539479564109,0.8122881009672527,0.8193048497088172,0.0183582904470144,True,False,0.9528484313588512,1.0,0.8113937254354049,1.0
0,6,0.15,0.058452087902888,0.0671222431204959,0.2492121031201329,0.0979539479564109,0.8122881009672527,0.8193048497088172,0.0183582904470144,True,False,0.9492334256651072,1.0,0.7969337026604286,1.0
0,6,0.2,0.058452087902888,0.0671222431204959,0.2492121031201329,0.0979539479564109,0.8122881009672527,0.8193048497088172,0.0183582904470144,True,False,0.945775153463166,1.0,0.7831006138526639,1.0
0,6,0.3,0.058452087902888,0.0671222431204959,0.2492121031201329,0.0979539479564109,0.8122881009672527,0.8193048497088172,0.0183582904470144,True,False,0.9455563558885308,1.0,0.7822254235541237,1.0
0,7,0.05,0.058452087902888,0.0671222431204959,0.2492121031201329,0.0979539479564109,0.8122881009672527,0.8193048497088172,0.0183582904470144,True,False,0.523436884427739,0.4466176532887624,0.2036854317543728,0.996826799379058
