method,final_dist_mean,final_dist_std,steps_to_target_mean,steps_to_target_std
BO,0.01087276009284166,0.018205144587013996,0.0,0.0
Random,0.017061342464482043,0.015510353360693806,0.0,0.0
LHS,0.021644958678872367,0.012071300165718706,0.0,0.0
