cluster,n_modes,n_boundary,n_outlier,avg_severity,max_severity,std_severity,stable_pct,avg_total_re_pct,avg_inertia_proxy,avg_stress_index,avg_net_flow_proxy
0,42,11,0,0.8054661931251056,0.9534359671671928,0.09503735784342196,0.0,0.3887905272119937,0.7501196704985866,0.3009583154568561,0.030065147771587097
1,49,13,0,0.5272307397755951,0.6923095537919995,0.0660014886543382,0.0,0.2837769534798037,0.8851668281049717,0.27030467732342583,0.0805687957705758
2,41,11,0,0.8471615492932308,0.9765552120904204,0.06219425856925184,0.0,0.23425842676126285,0.9015078808930719,0.32275023761364074,0.023591528194986285
3,30,8,0,0.608972047477382,0.9298487191712992,0.1053844009308373,0.0,0.4553835102112499,0.7598803204107557,0.41639055607006686,0.20048694005122986
4,34,9,0,0.8693400827640058,0.9774950551650126,0.07462595068862374,0.0,0.3582880493193863,0.8151108802637332,0.4486854468474647,-0.3158042828997224
5,4,1,0,1.0,1.0,0.0,0.0,0.26023442263481256,0.8325261449463955,0.4174253651339647,-0.3223348537795406
