,mode_id,success,stable,severity,f_angle,f_freq,f_voltage,angle_sep_deg,freq_dev_hz,voltage_dip,sim_time
0,0,True,False,0.47061807436606484,0.3220321047900195,0.2414195243932724,0.996988563490948,57.96577886220351,0.4828390487865448,0.996988563490948,1.3020741939544678
1,1,True,False,0.8501374887022864,1.0,0.40341856742268334,0.9971313873864625,181.6302363997344,0.8068371348453667,0.9971313873864625,0.28099966049194336
2,2,True,False,0.688960176913556,0.6276175691711691,0.5035226690737922,0.9970829002380941,112.97116245081044,1.0070453381475843,0.9970829002380941,1.0179517269134521
3,3,True,False,0.8303538896205767,1.0,0.3244368282556245,0.9969787302266823,180.3623662564282,0.648873656511249,0.9969787302266823,0.5200655460357666
4,4,True,False,0.6521195753786545,0.5923032081004912,0.4268158483293192,0.9970560369843164,106.61457745808842,0.8536316966586384,0.9970560369843164,1.0131738185882568
5,5,True,False,0.8609411399446136,0.817966443109364,0.8107546312837073,0.9970770422760189,147.23395975968552,1.6215092625674146,0.9970770422760189,1.2710928916931152
6,6,True,False,0.5018005296227117,0.30439629276589286,0.4014656510848589,0.9969438818742025,54.79133269786071,0.8029313021697178,0.9969438818742025,0.9657018184661865
7,7,True,False,0.5989699426424591,0.5232821132302992,0.3523159118374579,0.9969996322717798,94.19078038145385,0.7046318236749158,0.9969996322717798,1.2179758548736572
8,8,True,False,0.45734934632541974,0.2793346906040383,0.273775705826349,0.9969522982672533,50.2802443087269,0.547551411652698,0.9969522982672533,0.9568121433258057
9,9,True,False,0.8907969562618436,1.0,0.5661686446957717,0.9970191803516031,180.80098408143516,1.1323372893915433,0.9970191803516031,0.5411694049835205
10,10,True,False,0.559865152681388,0.46045244519706274,0.3215228804545198,0.9970328398769066,82.8814401354713,0.6430457609090396,0.9970328398769066,1.0159530639648438
11,11,True,False,0.6923095537919995,0.6554317728504527,0.46135212977498696,0.9970225396921059,117.97771911308149,0.9227042595499739,0.9970225396921059,1.2447738647460938
12,12,True,False,0.4746834413351444,0.32027502344026687,0.26120847099606337,0.9969752474639805,57.64950421924804,0.5224169419921267,0.9969752474639805,1.0045335292816162
13,13,True,False,0.8465919466460288,1.0,0.3893167152271957,0.9970510713569196,182.33304719988968,0.7786334304543914,0.9970510713569196,0.2950007915496826
