dim0,dim1,predicted_severity
-0.0177395604855597,-0.0149070699435453,0.7186052177160792
-0.015554171743538694,-0.0149070699435453,0.7181034911850042
-0.013368783001517687,-0.0149070699435453,0.7175935502974456
-0.011183394259496682,-0.0149070699435453,0.7170754084162432
-0.008998005517475675,-0.0149070699435453,0.7165490843829423
-0.006812616775454668,-0.0149070699435453,0.716014602710762
-0.004627228033433663,-0.0149070699435453,0.7154719937790727
-0.0024418392914126556,-0.0149070699435453,0.7149212940293689
-0.0002564505493916486,-0.0149070699435453,0.7143625461623574
0.0019289381926293585,-0.0149070699435453,0.713795799335839
0.0041143269346503655,-0.0149070699435453,0.7132211093630589
0.006299715676671373,-0.0149070699435453,0.7126385389111132
0.008485104418692376,-0.0149070699435453,0.7120481576990602
0.010670493160713383,-0.0149070699435453,0.7114500426952988
0.01285588190273439,-0.0149070699435453,0.7108442783137175
0.0150412706447554,-0.0149070699435453,0.7102309566082385
0.017226659386776404,-0.0149070699435453,0.7096101774652367
0.019412048128797408,-0.0149070699435453,0.708982048793163
0.02159743687081842,-0.0149070699435453,0.7083466867090915
0.023782825612839422,-0.0149070699435453,0.7077042157214025
0.025968214354860433,-0.0149070699435453,0.7070547689080634
0.028153603096881436,-0.0149070699435453,0.7063984880899684
0.030338991838902447,-0.0149070699435453,0.7057355239986155
0.032524380580923454,-0.0149070699435453,0.7050660364374908
0.03470976932294445,-0.0149070699435453,0.7043901944364604
0.03689515806496546,-0.0149070699435453,0.7037081763985641
0.03908054680698647,-0.0149070699435453,0.7030201702383934
0.04126593554900748,-0.0149070699435453,0.7023263735113745
0.04345132429102848,-0.0149070699435453,0.7016269935332642
0.04563671303304949,-0.0149070699435453,0.700922247489122
0.0478221017750705,-0.0149070699435453,0.7002123625309143
0.050007490517091496,-0.0149070699435453,0.6994975758630814
0.05219287925911251,-0.0149070699435453,0.6987781348154397
0.05437826800113352,-0.0149070699435453,0.6980542969023505
0.056563656743154514,-0.0149070699435453,0.6973263298678644
0.058749045485175524,-0.0149070699435453,0.6965945117157123
0.060934434227196535,-0.0149070699435453,0.6958591307236945
0.06311982296921755,-0.0149070699435453,0.6951204854417152
0.06530521171123854,-0.0149070699435453,0.6943788846727442
0.06749060045325955,-0.0149070699435453,0.6936346474361452
0.06967598919528056,-0.0149070699435453,0.6928881029127002
0.07186137793730156,-0.0149070699435453,0.6921395903708918
0.07404676667932257,-0.0149070699435453,0.6913894590736335
0.07623215542134358,-0.0149070699435453,0.690638068165324
0.07841754416336459,-0.0149070699435453,0.6898857865384527
0.08060293290538559,-0.0149070699435453,0.6891329926796068
0.0827883216474066,-0.0149070699435453,0.6883800744943016
0.08497371038942761,-0.0149070699435453,0.6876274291106359
0.0871590991314486,-0.0149070699435453,0.6868754626612031
0.08934448787346962,-0.0149070699435453,0.6861245900434156
0.09152987661549063,-0.0149070699435453,0.6853752346578748
0.09371526535751164,-0.0149070699435453,0.6846278281249109
0.09590065409953263,-0.0149070699435453,0.6838828099792142
0.09808604284155364,-0.0149070699435453,0.683140627342728
0.10027143158357466,-0.0149070699435453,0.6824017345759221
0.10245682032559567,-0.0149070699435453,0.6816665929075847
0.10464220906761666,-0.0149070699435453,0.6809356700436411
0.10682759780963767,-0.0149070699435453,0.680209439755126
0.10901298655165868,-0.0149070699435453,0.6794883814459202
0.1111983752936797,-0.0149070699435453,0.6787729797005696
