dim0,dim1,severity,label,fault_name,cluster_id
0.0022604395144403,0.1956112156024795,0.8388059432484989,unsafe,angle_bus7,4
0.0022604395144403,0.1956112156024795,0.5584126177099311,safe,angle_bus8,4
0.0022604395144403,0.1956112156024795,0.5489275394315257,safe,voltage_bus9,4
0.0022604395144403,0.1956112156024795,0.5232421982094978,safe,voltage_bus10,4
0.0022604395144403,0.1956112156024795,0.954836198372316,unsafe,freq_bus2,4
0.0022604395144403,0.1956112156024795,0.5224947983930242,safe,freq_bus4,4
0.0022604395144403,0.1956112156024795,0.8884427499142582,unsafe,severe_bus7,4
0.0955658580117267,0.0677276127821522,0.6530718685501651,unsafe,angle_bus7,2
0.0955658580117267,0.0677276127821522,0.4916741233244159,safe,angle_bus8,2
0.0955658580117267,0.0677276127821522,0.4855971980984495,safe,voltage_bus9,2
0.0955658580117267,0.0677276127821522,0.4556439917033129,safe,voltage_bus10,2
0.0955658580117267,0.0677276127821522,0.6850077467182744,unsafe,freq_bus2,2
0.0955658580117267,0.0677276127821522,0.46208564527884,safe,freq_bus4,2
0.0955658580117267,0.0677276127821522,0.914878817223358,unsafe,severe_bus7,2
0.1164547403187013,0.0802930197560509,0.5116250203723114,safe,angle_bus7,2
0.1164547403187013,0.0802930197560509,0.42486043825171,safe,angle_bus8,2
0.1164547403187013,0.0802930197560509,0.4225315020654224,safe,voltage_bus9,2
0.1164547403187013,0.0802930197560509,0.4053588177054451,safe,voltage_bus10,2
0.1164547403187013,0.0802930197560509,0.530216314555689,safe,freq_bus2,2
0.1164547403187013,0.0802930197560509,0.413538998733354,safe,freq_bus4,2
0.1164547403187013,0.0802930197560509,0.6974107061668777,unsafe,severe_bus7,2
0.0684571050793245,0.3831695104675754,0.8595205752313904,unsafe,angle_bus7,0
0.0684571050793245,0.3831695104675754,0.6295727560647333,unsafe,angle_bus8,0
0.0684571050793245,0.3831695104675754,0.61653209784549,unsafe,voltage_bus9,0
0.0684571050793245,0.3831695104675754,0.6724104891740625,unsafe,voltage_bus10,0
0.0684571050793245,0.3831695104675754,0.8578393666178006,unsafe,freq_bus2,0
0.0684571050793245,0.3831695104675754,0.6842852379906509,unsafe,freq_bus4,0
0.0684571050793245,0.3831695104675754,0.8741504509472002,unsafe,severe_bus7,0
0.1881052864091571,0.2587007849466453,0.6148237961637438,unsafe,angle_bus7,2
0.1881052864091571,0.2587007849466453,0.4937485522399136,safe,angle_bus8,2
0.1881052864091571,0.2587007849466453,0.4893531152083751,safe,voltage_bus9,2
0.1881052864091571,0.2587007849466453,0.4740993088749602,safe,voltage_bus10,2
0.1881052864091571,0.2587007849466453,0.6380801928692468,unsafe,freq_bus2,2
0.1881052864091571,0.2587007849466453,0.4732125971236909,safe,freq_bus4,2
0.1881052864091571,0.2587007849466453,0.9111697664357944,unsafe,severe_bus7,2
0.2729973489799775,0.0968763335861795,0.8723269772535807,unsafe,angle_bus7,5
0.2729973489799775,0.0968763335861795,0.6247502615770724,unsafe,angle_bus8,5
0.2729973489799775,0.0968763335861795,0.5980449188154326,safe,voltage_bus9,5
0.2729973489799775,0.0968763335861795,0.554150532005328,safe,voltage_bus10,5
0.2729973489799775,0.0968763335861795,0.8761534201238358,unsafe,freq_bus2,5
0.2729973489799775,0.0968763335861795,0.5672081425431946,safe,freq_bus4,5
0.2729973489799775,0.0968763335861795,0.8877222205017544,unsafe,severe_bus7,5
0.2886024751639069,0.2280009179752489,0.9563974646453512,unsafe,angle_bus7,5
0.2886024751639069,0.2280009179752489,0.9988698457370816,unsafe,angle_bus8,5
0.2886024751639069,0.2280009179752489,0.9986258001145828,unsafe,voltage_bus9,5
0.2886024751639069,0.2280009179752489,0.9989240356329272,unsafe,voltage_bus10,5
0.2886024751639069,0.2280009179752489,0.9560202038371632,unsafe,freq_bus2,5
0.2886024751639069,0.2280009179752489,0.93107475785032,unsafe,freq_bus4,5
0.2886024751639069,0.2280009179752489,0.956417205277283,unsafe,severe_bus7,5
0.3054108422446166,0.1643125880404711,0.889486654754772,unsafe,angle_bus7,3
0.3054108422446166,0.1643125880404711,0.5784014843461172,safe,angle_bus8,3
0.3054108422446166,0.1643125880404711,0.5663992869371195,safe,voltage_bus9,3
0.3054108422446166,0.1643125880404711,0.5339385675187733,safe,voltage_bus10,3
0.3054108422446166,0.1643125880404711,0.8831319992865603,unsafe,freq_bus2,3
0.3054108422446166,0.1643125880404711,0.5311834009785706,safe,freq_bus4,3
0.3054108422446166,0.1643125880404711,0.8912442992955985,unsafe,severe_bus7,3
0.2023500114258397,0.2836528167999941,0.8345987591013047,unsafe,angle_bus7,4
0.2023500114258397,0.2836528167999941,0.9039034801792244,unsafe,angle_bus8,4
0.2023500114258397,0.2836528167999941,0.8490040828147574,unsafe,voltage_bus9,4
