re_level,n_samples,f_angle_mean,f_angle_std,f_angle_min,f_angle_max,f_angle_range,f_freq_mean,f_freq_std,f_freq_min,f_freq_max,f_freq_range,f_voltage_mean,f_voltage_std,f_voltage_min,f_voltage_max,f_voltage_range,severity_mean,severity_std
0,217,0.6821337230528112,0.2760115350570584,0.2032229414941532,1.0,0.7967770585058468,0.4356851930365477,0.25558006539738726,0.1000310183204753,1.0,0.8999689816795247,0.9964791556778066,0.0009508044578409534,0.9943192762211622,1.0,0.005680723778837771,0.6991079487049942,0.18488986317012085
1,224,0.7571842635461163,0.2809819758936184,0.1973638005722759,1.0,0.8026361994277241,0.37678353447788177,0.1909047199003695,0.0006557431046374,0.9428854415220584,0.942229698417421,0.7707386856188576,0.27502069269141405,0.3310635911172211,1.0,0.6689364088827789,0.665472686797243,0.13569647721323558
2,273,0.8378116710353686,0.24833953785459012,0.2373831590766882,1.0,0.7626168409233118,0.5569558476073813,0.19306785358822445,0.0031498127865177,1.0,0.9968501872134823,0.7554949346709154,0.25345437260414705,0.1916869608334067,1.0,0.8083130391665934,0.7470185310872585,0.13747520100456656
3,273,0.8600037062457215,0.23778688299041084,0.1968458065823765,1.0,0.8031541934176235,0.5406713113660927,0.1688146836122548,0.0027782104435054,1.0,0.9972217895564947,0.7312214238348047,0.25361698082066525,0.1437534200669299,1.0,0.8562465799330701,0.747975036923085,0.12841639604110194
4,273,0.9013789662901508,0.20019788093898416,0.2574988418116729,1.0,0.7425011581883272,0.5191257541604335,0.15892217082432966,0.0029547609140827,0.9959646925047814,0.9930099315906986,0.6935929906918874,0.26053991851730596,0.1611401308311043,1.0,0.8388598691688958,0.7538691693581556,0.110421688250816
