re_level,fault_name,f_angle,f_freq,f_voltage,severity
0,angle_bus7,0.8185622412229899,0.7210741907348677,0.9970250998131478,0.8388059432484989
0,angle_bus8,0.5222215481350131,0.1926826459709758,0.9965247285987228,0.5584126177099311
0,voltage_bus9,0.5095530548106579,0.1809405367899295,0.9956635113148576,0.5489275394315257
0,voltage_bus10,0.4804367973475593,0.1358340388968706,0.9962611592460016,0.5232421982094978
0,freq_bus2,0.9117635310612876,1.0,0.9958177313666884,0.954836198372316
0,freq_bus4,0.4804367973475593,0.1331234164831727,0.9959821823938052,0.5224947983930242
0,severe_bus7,1.0,0.5562985781391845,0.9974724215178484,0.8884427499142582
0,angle_bus7,0.5848689908663088,0.4454768607387009,0.9970726317293416,0.6530718685501651
0,angle_bus8,0.3960741993168692,0.1779568682359595,0.9965912264279658,0.4916741233244159
0,voltage_bus9,0.3876498102589576,0.1713229258628175,0.9957662460130652,0.4855971980984495
0,voltage_bus10,0.3582680879762481,0.1097056047888784,0.9963341860718772,0.4556439917033129
0,freq_bus2,0.6184948851371059,0.5069999125036482,0.9960413040952372,0.6850077467182744
0,freq_bus4,0.3568223906992775,0.1386390715011494,0.9960587282156552,0.46208564527884
0,severe_bus7,1.0,0.6620489974260906,0.9974662714673412,0.914878817223358
0,angle_bus7,0.3817489711317483,0.2859751665680292,0.9970269726577194,0.5116250203723114
0,angle_bus8,0.2688846195190243,0.1650237613241891,0.9966487526446022,0.42486043825171
0,voltage_bus9,0.2648045743065765,0.1646563025605267,0.9958605570880096,0.4225315020654224
0,voltage_bus10,0.2525183268233283,0.1200152579865658,0.996383359188558,0.4053588177054451
0,freq_bus2,0.4059022076821121,0.3129191261297066,0.9961417167288248,0.530216314555689
0,freq_bus4,0.2525183268233283,0.1530118946451182,0.9961074466416412,0.413538998733354
0,severe_bus7,0.5969985908435217,0.5983074080433219,0.9973382349371456,0.6974107061668777
0,angle_bus7,1.0,0.441113436257492,0.9969688646680692,0.8595205752313904
0,angle_bus8,0.6171600312997643,0.2876029021932318,0.9963680594661728,0.6295727560647333
0,voltage_bus9,0.6171600312997643,0.2363649090152435,0.9954434197671882,0.61653209784549
0,voltage_bus10,0.6668120261334088,0.3598815141028346,0.996136390326598,0.6724104891740625
0,freq_bus2,1.0,0.4357383196551794,0.995619146816023,0.8578393666178006
0,freq_bus4,0.6830338099351475,0.3752018273590245,0.995871504733284,0.6842852379906509
0,severe_bus7,1.0,0.4991176339134213,0.9974841698753794,0.8741504509472002
0,angle_bus7,0.5344979276765979,0.3932506700066618,0.997048659295118,0.6148237961637438
0,angle_bus8,0.3874896491368984,0.2034293381685756,0.9965855725172824,0.4937485522399136
0,voltage_bus9,0.381197416319592,0.1992670941295244,0.995750534064792,0.4893531152083751
0,voltage_bus10,0.3620787441445176,0.1759409782170529,0.9962987689937526,0.4740993088749602
0,freq_bus2,0.5596929330425262,0.4368707523457935,0.9960641530461414,0.6380801928692468
0,freq_bus4,0.3620787441445176,0.172680764761445,0.9960121354442834,0.4732125971236909
0,severe_bus7,1.0,0.6472421671713846,0.9974368985717932,0.9111697664357944
0,angle_bus7,1.0,0.492214806872834,0.9970931021414884,0.8723269772535807
0,angle_bus8,0.6078999577893184,0.2867266492276386,0.9964744815020142,0.6247502615770724
0,voltage_bus9,0.58072332819745,0.2351638202661341,0.9955691986006964,0.5980449188154326
0,voltage_bus10,0.5394458940822386,0.1414880410327192,0.9962222988241156,0.554150532005328
0,freq_bus2,1.0,0.5088725087604864,0.9957411717348568,0.8761534201238358
0,freq_bus4,0.5550776145799917,0.1627353767252159,0.9959419642875792,0.5672081425431946
0,severe_bus7,1.0,0.5532987097585327,0.997590172248485,0.8877222205017544
0,angle_bus7,0.9148807695637452,1.0,0.9958283194539144,0.9563974646453512
0,angle_bus8,1.0,1.0,0.9954793829483258,0.9988698457370816
0,voltage_bus9,1.0,1.0,0.9945032004583318,0.9986258001145828
0,voltage_bus10,1.0,1.0,0.9956961425317092,0.9989240356329272
0,freq_bus2,0.9148807695637452,1.0,0.9943192762211622,0.9560202038371632
0,freq_bus4,1.0,0.72429903140128,1.0,0.93107475785032
0,severe_bus7,0.9148807695637452,1.0,0.995907281981642,0.956417205277283
0,angle_bus7,1.0,0.5608818804982931,0.9970647385207944,0.889486654754772
0,angle_bus8,0.5512899636414667,0.2145282106186741,0.9964977994828612,0.5784014843461172
0,voltage_bus9,0.5350260260999767,0.1999311018646281,0.9956139936838962,0.5663992869371195
0,voltage_bus10,0.5060351404382449,0.1274462286390907,0.9962377605595126,0.5339385675187733
0,freq_bus2,1.0,0.5367260578598163,0.9958019392864248,0.8831319992865603
0,freq_bus4,0.5060351404382449,0.1167020334499184,0.9959612895878744,0.5311834009785706
0,severe_bus7,1.0,0.5674336008886591,0.9975435962937348,0.8912442992955985
0,angle_bus7,1.0,0.3414412063632284,0.99695383004199,0.8345987591013047
0,angle_bus8,1.0,0.6193038083550597,0.9963101123618378,0.9039034801792244
0,voltage_bus9,1.0,0.4006579515768038,0.9953583796822256,0.8490040828147574
0,voltage_bus10,1.0,0.3605588776182848,0.996088985862466,0.8391619658701877
0,freq_bus2,1.0,0.7163332308297186,1.0,0.9290833077074296
0,freq_bus4,1.0,0.3029120738066524,0.9958190076607628,0.8246827703668538
0,severe_bus7,1.0,0.4590049837759089,0.9974877834729132,0.8641231918122055
0,angle_bus7,0.627437406769569,0.4758760426780206,0.9970706265639236,0.6819553706952706
0,angle_bus8,0.4288926041513481,0.1872106337746757,0.9965791640846152,0.5103937515404968
0,voltage_bus9,0.4192250653758852,0.1805860524258236,0.9957419030283474,0.5036945215514854
0,voltage_bus10,0.3877856567060916,0.122000983603705,0.996311112510306,0.4734708523815486
0,freq_bus2,0.6617043892146475,0.5406069349129154,0.9960053989521248,0.7150052780735838
0,freq_bus4,0.3877856567060916,0.1355509780889328,0.9960384293304092,0.4767901802078813
0,severe_bus7,1.0,0.6100724798991806,0.9974768486755672,0.901887332143687
0,angle_bus7,1.0,0.3336507598470852,0.9969457047727416,0.8326491161549567
0,angle_bus8,1.0,0.3294251456848549,0.9962773410638504,0.8314256216871763
0,voltage_bus9,1.0,0.716273901345204,0.995315716322962,0.9278974044170416
0,voltage_bus10,1.0,0.3196935288357245,0.9960666580170044,0.8289400467131822
0,freq_bus2,0.6887651300441989,0.1187486209969677,0.9954576422778336,0.6229341308407997
0,freq_bus4,1.0,0.327149256507699,0.9958016906370404,0.8307377367861848
0,severe_bus7,1.0,0.4497979308109876,0.9974718930389096,0.8618174559624743
0,angle_bus7,1.0,0.3645584619008488,0.9971008251881546,0.8404148217722509
0,angle_bus8,1.0,0.4538696923814349,0.996401749658538,0.8625678605099932
0,voltage_bus9,1.0,0.7712399923743547,1.0,0.9428099980935888
0,voltage_bus10,1.0,0.7190547451230174,0.9961454140576314,0.928800039795162
0,freq_bus2,1.0,0.6615650503967387,1.0,0.9153912625991848
0,freq_bus4,1.0,0.4666135826045519,0.9958599377097992,0.8656183800785877
0,severe_bus7,1.0,0.5138158619785855,0.9976383892698908,0.8778635628121191
0,angle_bus7,0.5584961041642859,0.4091457439425952,0.9970629378937068,0.6308002225412184
0,angle_bus8,0.39242946535259,0.1876083193846298,0.9965938456840496,0.4922652739434649
0,voltage_bus9,0.3840121490254487,0.183668515534535,0.9957658577445524,0.4868646678324962
0,voltage_bus10,0.3589334228029913,0.1313185411906303,0.9963210876405452,0.4613766186092895
0,freq_bus2,0.585718397619589,0.4579026148355893,0.9960509049412164,0.656347578753996
0,freq_bus4,0.3589334228029913,0.1432918352395447,0.996044007751904,0.4643006721493578
0,severe_bus7,1.0,0.6352916765226979,0.9974496529427952,0.9081853323663732
0,angle_bus7,0.681557950577848,0.4986438742614183,0.9970192645434296,0.714694759990136
0,angle_bus8,0.4473132030020477,0.165486191519399,0.9965724050022208,0.5141712506314289
0,voltage_bus9,0.4369720674655097,0.1572198844463344,0.99574896398659,0.506728245840986
0,voltage_bus10,0.408517784560845,0.1000310183204753,0.9963344389385344,0.4783502565951749
0,freq_bus2,0.7174426070947713,0.5747229804278895,0.9958657830073292,0.7513684944061902
0,freq_bus4,0.408517784560845,0.1269570988826807,0.9960621195717446,0.4850136968940288
0,severe_bus7,1.0,0.5600454600786406,0.9974140538520104,0.8893648784826628
0,angle_bus7,0.9195427935175692,1.0,0.9968115470378014,0.958974283518235
