re_level,angle_bus7,angle_bus8,freq_bus2,freq_bus4,severe_bus7,voltage_bus10,voltage_bus9
0,0.7568415260346545,0.6364111539749219,0.7715276782960505,0.619065934099958,0.8564135163756516,0.6193237195148984,0.6341721126388246
1,0.7055415767535489,0.6235752819241915,0.7038449521984557,0.6045873018068773,0.7715269541566032,0.6030367022958755,0.6461960384451493
2,0.7692902076143268,0.7162116502494615,0.7552676030117241,0.7064794294435953,0.8140636360918413,0.7071176611416116,0.7606995300582485
3,0.7631138209921466,0.7178493203373757,0.7641035649977497,0.7092304209910194,0.8036068069032796,0.7085979978607407,0.769323326379284
4,0.7602109667610669,0.7376799699345463,0.7594031461602346,0.7338248340013759,0.7887001683914572,0.734083425694538,0.7631816745638706
