mode_id,max_severity,worst_fault,wind_area1_pct,wind_area2_pct,solar_area1_pct,solar_area2_pct,load_area1,load_area2,gen_dispatch_bias,total_re_pct,angle_dominated_severity,angle_dominated_f_angle,angle_dominated_f_freq,angle_dominated_f_voltage,angle_dominated_success,angle_dominated_v2_severity,angle_dominated_v2_f_angle,angle_dominated_v2_f_freq,angle_dominated_v2_f_voltage,angle_dominated_v2_success,voltage_dominated_severity,voltage_dominated_f_angle,voltage_dominated_f_freq,voltage_dominated_f_voltage,voltage_dominated_success,voltage_dominated_v2_severity,voltage_dominated_v2_f_angle,voltage_dominated_v2_f_freq,voltage_dominated_v2_f_voltage,voltage_dominated_v2_success,freq_dominated_severity,freq_dominated_f_angle,freq_dominated_f_freq,freq_dominated_f_voltage,freq_dominated_success,freq_dominated_v2_severity,freq_dominated_v2_f_angle,freq_dominated_v2_f_freq,freq_dominated_v2_f_voltage,freq_dominated_v2_success,severe_combined_severity,severe_combined_f_angle,severe_combined_f_freq,severe_combined_f_voltage,severe_combined_success,tie_line_n3_fault_severity,tie_line_n3_fault_f_angle,tie_line_n3_fault_f_freq,tie_line_n3_fault_f_voltage,tie_line_n3_fault_success,tie_line_n2_fault_severity,tie_line_n2_fault_f_angle,tie_line_n2_fault_f_freq,tie_line_n2_fault_f_voltage,tie_line_n2_fault_success
0,0.9993887600800764,tie_line_n3_fault,0.2469680586019254,0.2567481620803306,0.2571414020800885,0.2403026319709406,1.0763587339781684,0.7900365664725448,-0.0967611397019903,0.5005801273666426,0.5130432691266927,0.3860354013023498,0.2831122890622914,0.9969899848397796,True,0.4442407990817777,0.2941836331484556,0.1919641024285283,0.9966318276016712,True,0.4419484504813898,0.2907356890954576,0.190494488465827,0.995827935268817,True,0.4418679451816011,0.2900700994376511,0.1909901728365284,0.996341409014574,True,0.5219242190421784,0.3949896457182998,0.3016465267443209,0.9960710579877932,True,0.4410483860679269,0.2900700994376511,0.1879997928013885,0.9960535525950168,True,0.6667105716355652,0.5655533755487041,0.5384493138162014,0.9972862216286515,True,0.9993887600800764,1.0,1.0,0.9975550403203054,True,0.869258223783239,1.0,0.479659811201941,0.9973730839310151,True
1,0.9993396709041618,tie_line_n3_fault,0.1048606320424935,0.3800390693008068,0.1491068788786778,0.2832216165029262,0.900708041938222,0.9497999184944094,-0.0770438037657872,0.4586140983624522,0.7299810440442441,0.7017711466860417,0.5193798608021218,0.9970020220027712,True,0.5557975786454491,0.5061368596990593,0.2143894335020419,0.996527161681636,True,0.5492873356471788,0.497228447274471,0.2070255618730563,0.995666886166717,True,0.5322937323754899,0.4705473727907945,0.1918232471032865,0.996256936817084,True,0.7657735511082737,0.7367052159438033,0.593822468515441,0.9958613040300472,True,0.5311868144883685,0.4705473727907945,0.1876734868382428,0.9959790255336418,True,0.8848200644803392,1.0,0.5418498262558735,0.9974304316654832,True,0.9993396709041618,1.0,1.0,0.9973586836166471,True,0.8564473373890531,1.0,0.4284980825278808,0.9972912670283314,True
2,0.9993079215342278,tie_line_n3_fault,0.0317942806772432,0.24575593472901,0.1892552378440921,0.0630324902675657,1.0280112619627926,0.8089443104409476,0.0805304441887241,0.2649189717589556,0.8922318470599124,1.0,0.5718858822432189,0.9970415059964306,True,0.5770246507748715,0.5498833116614322,0.2118520108649235,0.9964799689116982,True,0.5668363925267444,0.5364668164067697,0.1988197545448642,0.995592182748574,True,0.5409629609655773,0.5123798832903805,0.1428773024430363,0.9962147748385118,True,0.8825632911447803,1.0,0.534445369456968,0.9958077951221532,True,0.5394014502236537,0.5123798832903805,0.1369129204543355,0.995933113859518,True,0.8928782140970061,1.0,0.5739888579716705,0.9975239984163536,True,0.9993079215342278,1.0,1.0,0.9972316861369109,True,0.8516313321185263,1.0,0.4092773371090672,0.9972479913650378,True
3,0.9992956717736863,tie_line_n3_fault,0.3330807048545543,0.2771601046595527,0.106524295073774,0.1297730906509491,0.7649952790079761,0.8763442721216914,-0.0558326781960578,0.4232690976194151,0.8705204353557783,1.0,0.4850802973826695,0.9970014440404434,True,0.6032218646622429,0.5856881029762562,0.2450653024402953,0.9964459502561638,True,0.5893845535969126,0.5710828314167492,0.2198248518138896,0.995547699740262,True,0.5673046610792588,0.5593780064434336,0.154271187352549,0.9961914440776192,True,0.8715851507805578,1.0,0.4906441556574883,0.9956964474647428,True,0.5654141218115438,0.5593780064434336,0.1469875489527439,0.9959129254065642,True,0.8812141491094583,1.0,0.5273582553877496,0.9974983410500832,True,0.9992956717736863,1.0,1.0,0.997182687094745,True,0.8458729855894616,1.0,0.386287765064516,0.9972041772933302,True
4,0.9993887621653261,tie_line_n3_fault,0.1723996465306636,0.2449168444781573,0.1901677401986048,0.2561952356425032,0.7264187824314547,0.8210675078441045,-0.0216824955039749,0.4318397334249645,0.5121478020466836,0.380519376651449,0.2905452905843546,0.997007164299482,True,0.439952225439283,0.2860407288112478,0.1910967653017721,0.9966306788328644,True,0.4377269803647287,0.2824364647346432,0.1902101897121397,0.9958248022774884,True,0.4359028402809859,0.2813227760716925,0.1846257938871964,0.9963400150933625,True,0.5275760766269231,0.4009042113129363,0.312382430549853,0.9961134533319664,True,0.4350747018560567,0.2813227760716925,0.1816009633418573,0.9960522919389844,True,0.6843325262828422,0.5847509600637819,0.570510705272504,0.9973174797313012,True,0.9993887621653261,1.0,1.0,0.9975550486613047,True,0.8677320913391912,1.0,0.4735454334105462,0.9973829319462183,True
5,0.9992511338435477,tie_line_n3_fault,0.2931469966885209,0.2357334557300332,0.263992637730249,0.2372130756224978,0.8970027237151119,1.0979422519320603,0.069219270968978,0.5150430828856505,0.8486957327318534,1.0,0.3977596881599758,0.9970232427674378,True,0.9202760078083456,1.0,0.6847611906109812,0.9963428406224014,True,0.9086291622885304,1.0,0.6391278269716985,0.9953888221824228,True,0.8898760559013299,1.0,0.5634007699972408,0.9961034536080786,True,0.9087041012915682,1.0,0.6348164051662728,1.0,True,0.861012350062841,1.0,0.4482203625568992,0.9958290376944648,True,0.8694517712760776,1.0,0.4802636829857647,0.9975434021185456,True,0.9992511338435477,1.0,1.0,0.9970045353741905,True,0.8245113107424555,1.0,0.3009269925551301,0.9971182504146918,True
6,0.9993114691496215,tie_line_n3_fault,0.3589800015234453,0.2818203755733325,0.103446420599342,0.2034407928392546,0.731044074852906,0.930953773248148,-0.0014367173892323,0.4738437952676873,0.9019406731851642,1.0,0.6107465294872654,0.9970161632533914,True,0.576799729609529,0.553836566780123,0.2030442818859832,0.9964815029918866,True,0.5677594668174869,0.5411539318115773,0.1931309658022399,0.9955990378445528,True,0.5442648041778598,0.5160496750774559,0.1487407288133688,0.9962191377431588,True,0.8879434964385834,1.0,0.5559921804180021,0.9957818053363312,True,0.543172217129994,0.5160496750774559,0.1446502971029772,0.9959392212620868,True,0.886029381517062,1.0,0.5466251059494702,0.997492420118778,True,0.9993114691496215,1.0,1.0,0.9972458765984863,True,0.8500949208344446,1.0,0.4031365544520753,0.9972431288857029,True
7,0.9993937224778773,tie_line_n3_fault,0.1577841113136975,0.1552572904635449,0.0982161017908935,0.2653356864596726,1.0143904197078395,0.8397789694230009,-0.0881669729199077,0.3382965950139043,0.4817479223951092,0.3376781770535117,0.2546453233366073,0.9969900121368062,True,0.4157712936638998,0.2496801210551822,0.1670685944147045,0.9966563381305305,True,0.4144205080050739,0.2464372662616864,0.1689361539216847,0.9958713455752384,True,0.4068577146456795,0.2464372662616864,0.1381781435116416,0.996378182547704,True,0.4904385017353416,0.3463088008494266,0.273034407021882,0.9961019982206312,True,0.410843397258419,0.2464372662616864,0.1543976853417525,0.9961013711685506,True,0.6174619554214525,0.4953148575362484,0.4819527549932516,0.9972653516200616,True,0.9993937224778773,1.0,1.0,0.9975748899115091,True,0.8718434631130538,1.0,0.48999196933088385,0.9973818831213314,True
8,0.9993994575085644,tie_line_n3_fault,0.0571759921305059,0.1933841364472673,0.1300914193092924,0.1533002928661892,0.7296011950578106,0.7015462354339783,-0.0087787509039657,0.2669759203766275,0.4863988755445259,0.3491910062541483,0.2502230319873035,0.9969904576825036,True,0.4305041375693536,0.2613103572752345,0.2027375329504579,0.9966583027764874,True,0.4287367757322591,0.2585634849712501,0.2019471947386328,0.9958729382479036,True,0.4251549377638929,0.2497689444954345,0.2047087608722826,0.99637310119242,True,0.5033476903142571,0.3733737897329335,0.2704706287720171,0.996172553019144,True,0.4244170031905975,0.2497689444954345,0.2020366711567831,0.9960934526147378,True,0.6237867899609272,0.516685901513029,0.4645086806092244,0.9972666762084264,True,0.9993994575085644,1.0,1.0,0.9975978300342577,True,0.8704612240492429,1.0,0.48445332023144516,0.9973915759655261,True
9,0.9986613250249562,tie_line_n3_fault,0.168377479747788,0.1540675179971416,0.1527277584381548,0.0969036090378465,0.8936460964051842,0.8163163355652495,0.0817976366352047,0.2860381826104655,0.7111854526357203,0.6635171214536186,0.5206345439511111,0.9970730236845328,True,0.5206447164143093,0.4474396294724814,0.1911328652292319,0.9965667414830424,True,0.5132997617347126,0.4370546297826898,0.1833681453318867,0.9957216420415842,True,0.483069890013448,0.404803614204559,0.1263751220509803,0.9962972095936936,True,0.7522376954105372,0.7048635041690696,0.6032365497219452,0.9959872235820644,True,0.4843866378405086,0.404803614204559,0.1319190813892738,0.9960202415636428,True,0.9010437970695928,1.0,0.6066821000307385,0.9974930882476326,True,0.9986613250249562,1.0,0.9972644955422041,0.9973808045576206,True,0.861290061578837,1.0,0.44782202908297464,0.9973382172323734,True
10,0.9993001776221473,tie_line_n3_fault,0.3298302548790634,0.3205545360414497,0.1703501533984451,0.0409155556788601,0.823876288896744,0.782437578739207,0.0125060091807554,0.4308252499989091,0.8774694906275121,1.0,0.5128724304153423,0.9970055320947064,True,0.5949576574309179,0.5768685368325943,0.2296435831347203,0.9964499729237626,True,0.5834234474900686,0.563026537864106,0.2120866910302972,0.9955540232017652,True,0.562136792414494,0.5499468257482492,0.1524583271392643,0.9961951910222132,True,0.8749136495356484,1.0,0.5039211558239174,0.9957334423186764,True,0.5603592692704132,0.5499468257482492,0.1456239368585627,0.995919488726592,True,0.882905962064946,1.0,0.5341261781985907,0.9974976700611934,True,0.9993001776221473,1.0,1.0,0.9972007104885893,True,0.8447718717188357,1.0,0.3818721105209306,0.9972153763544122,True
11,0.9992925665741049,tie_line_n3_fault,0.0648935183835562,0.1398073010815119,0.0958965970322774,0.0744123554278222,1.1497441105471946,0.8771123198224348,0.0154189388602996,0.1875048859625839,0.8754610893972558,1.0,0.5047607855638105,0.9970835720252126,True,0.6108675850113742,0.5901726083843064,0.2666441948249627,0.9964809284519212,True,0.5922978395463743,0.5703314285302664,0.2329480448889924,0.9955804562359716,True,0.5475265388508284,0.5323513416554956,0.1291813015826939,0.9962221705096282,True,0.8738998530689202,1.0,0.4998398316674226,0.995759580608258,True,0.5462928550247773,0.5323513416554956,0.1245264590977086,0.9959422776904094,True,0.8895924778439973,1.0,0.5607923318904753,0.997577579485514,True,0.9992925665741049,1.0,1.0,0.9971702662964197,True,0.8477689921117708,1.0,0.3938416353025822,0.997234333144501,True
12,1.0,angle_dominated,0.3915375069272869,0.0098787793446914,0.2799771961289703,0.0300414407867585,0.9047765448445856,1.0873258971591246,-0.1390827299999224,0.3557174615938536,1.0,1.0,1.0,1.0,False,1.0,1.0,1.0,1.0,False,1.0,1.0,1.0,1.0,False,1.0,1.0,1.0,1.0,False,1.0,1.0,1.0,1.0,False,1.0,1.0,1.0,1.0,False,1.0,1.0,1.0,1.0,False,1.0,1.0,1.0,1.0,False,1.0,1.0,1.0,1.0,False
13,0.9727836444712226,tie_line_n3_fault,0.2606844555588825,0.0433457240075273,0.216062173545025,0.0124282719476239,0.8777897658984145,0.8045995365053621,0.0636684310026574,0.2662603125295293,0.7974237679163438,0.7578268397839267,0.6769668872003294,0.9970745048971924,True,0.5296523975373342,0.4726340800855887,0.1767911078552266,0.9965503221229324,True,0.5202458504949787,0.4605973684259491,0.1640859372836374,0.9957027278443792,True,0.4876001459613066,0.4257867989392601,0.1025230507812366,0.9963039351854696,True,0.8778615059939685,0.8264107833820569,0.8627084077938036,0.9959160494179564,True,0.4916849202391408,0.4243085514493037,0.1220939104322447,0.9960286676257112,True,0.9009473611496908,1.0,0.6062824064269563,0.997507038171807,True,0.9727836444712226,1.0,0.8938166193467723,0.997317958538118,True,0.863221458571837,1.0,0.455577874603339,0.9973079596840088,True
