mode_id,wind_area1_pct,wind_area2_pct,solar_area1_pct,solar_area2_pct,load_area1,load_area2,gen_dispatch_bias,total_re_pct,max_severity,worst_fault,f_angle_max,f_freq_max,f_voltage_max
0,0.2469680586019254,0.2567481620803306,0.2571414020800885,0.2403026319709406,1.0763587339781684,0.7900365664725448,-0.0967611397019903,0.5005801273666426,0.6667105716355652,severe_combined,0.5655533755487041,0.5384493138162014,0.9972862216286515
1,0.1048606320424935,0.3800390693008068,0.1491068788786778,0.2832216165029262,0.900708041938222,0.9497999184944094,-0.0770438037657872,0.4586140983624522,0.8848200644803392,severe_combined,1.0,0.593822468515441,0.9974304316654832
2,0.0317942806772432,0.24575593472901,0.1892552378440921,0.0630324902675657,1.0280112619627926,0.8089443104409476,0.0805304441887241,0.2649189717589556,0.8928782140970061,severe_combined,1.0,0.5739888579716705,0.9975239984163536
3,0.3330807048545543,0.2771601046595527,0.106524295073774,0.1297730906509491,0.7649952790079761,0.8763442721216914,-0.0558326781960578,0.4232690976194151,0.8812141491094583,severe_combined,1.0,0.5273582553877496,0.9974983410500832
4,0.1723996465306636,0.2449168444781573,0.1901677401986048,0.2561952356425032,0.7264187824314547,0.8210675078441045,-0.0216824955039749,0.4318397334249645,0.6843325262828422,severe_combined,0.5847509600637819,0.570510705272504,0.9973174797313012
5,0.2931469966885209,0.2357334557300332,0.263992637730249,0.2372130756224978,0.8970027237151119,1.0979422519320603,0.069219270968978,0.5150430828856505,0.9202760078083456,angle_dominated_v2,1.0,0.6847611906109812,1.0
6,0.3589800015234453,0.2818203755733325,0.103446420599342,0.2034407928392546,0.731044074852906,0.930953773248148,-0.0014367173892323,0.4738437952676873,0.9019406731851642,angle_dominated,1.0,0.6107465294872654,0.997492420118778
7,0.1577841113136975,0.1552572904635449,0.0982161017908935,0.2653356864596726,1.0143904197078395,0.8397789694230009,-0.0881669729199077,0.3382965950139043,0.6174619554214525,severe_combined,0.4953148575362484,0.4819527549932516,0.9972653516200616
8,0.0571759921305059,0.1933841364472673,0.1300914193092924,0.1533002928661892,0.7296011950578106,0.7015462354339783,-0.0087787509039657,0.2669759203766275,0.6237867899609272,severe_combined,0.516685901513029,0.4645086806092244,0.9972666762084264
9,0.168377479747788,0.1540675179971416,0.1527277584381548,0.0969036090378465,0.8936460964051842,0.8163163355652495,0.0817976366352047,0.2860381826104655,0.9010437970695928,severe_combined,1.0,0.6066821000307385,0.9974930882476326
10,0.3298302548790634,0.3205545360414497,0.1703501533984451,0.0409155556788601,0.823876288896744,0.782437578739207,0.0125060091807554,0.4308252499989091,0.882905962064946,severe_combined,1.0,0.5341261781985907,0.9974976700611934
11,0.0648935183835562,0.1398073010815119,0.0958965970322774,0.0744123554278222,1.1497441105471946,0.8771123198224348,0.0154189388602996,0.1875048859625839,0.8895924778439973,severe_combined,1.0,0.5607923318904753,0.997577579485514
12,0.3915375069272869,0.0098787793446914,0.2799771961289703,0.0300414407867585,0.9047765448445856,1.0873258971591246,-0.1390827299999224,0.3557174615938536,1.0,angle_dominated,1.0,1.0,1.0
13,0.2606844555588825,0.0433457240075273,0.216062173545025,0.0124282719476239,0.8777897658984145,0.8045995365053621,0.0636684310026574,0.2662603125295293,0.9009473611496908,severe_combined,1.0,0.8627084077938036,0.997507038171807
14,0.0033057701300379,0.0620814513862599,0.2599783879201196,0.1121737080758056,1.1276557588422402,1.032789626366502,0.1204459638564609,0.2187696587561116,0.9533792510361384,voltage_dominated,1.0,0.8135170041445541,1.0
15,0.0222438148095697,0.057396134139907,0.2137090821618598,0.1224849428707682,0.8901160523641485,0.8635959346449265,-0.098164607817582,0.2079169869910524,0.8912239286788308,severe_combined,1.0,0.5674707006984967,0.9974250140168268
16,0.1919401191741435,0.1287532039199959,0.0010076244359441,0.146108322733745,0.7978770879708145,0.973163811263682,-0.0288934466396978,0.2339046351319143,0.8835689778028164,severe_combined,1.0,0.5366774282335633,0.9975984829777024
17,0.2543167193121028,0.3120842491326216,0.2937590294249943,0.2748772420675884,1.1097533309918126,1.0372700735250633,0.0568207316918422,0.5675186199686537,0.8875318378433737,severe_combined,1.0,0.5526184316507283,0.9975089197227666
18,0.1218674896113055,0.2281672506122167,0.1998035653342854,0.0476896763270999,1.003333892742638,0.7075422603609085,0.0294992588137976,0.2987639909424538,0.9122679740029412,severe_combined,1.0,0.6516532375299349,0.9974186584818302
19,0.2691414699965983,0.2786480849497224,0.1727703439700011,0.0988681777822134,0.9599835119895808,0.7583172512430572,0.0284936700683793,0.4097140383492677,0.9009474021850596,severe_combined,1.0,0.6063445214758261,0.9974450872644122
20,0.0377409834191428,0.3992251778543721,0.0648002243483399,0.1161958754738177,0.8159268893055762,0.7123915239941266,0.0088689422484426,0.3089811305478363,0.9563232572583708,severe_combined,1.0,0.8278943769347009,0.9973986520987824
21,0.2916180716974906,0.1307669220942506,0.1799751405086137,0.0974448019576731,0.8655490373324783,0.9248411538943738,-0.0381403395970639,0.349902468129014,0.8840192375100667,severe_combined,1.0,0.538472287899264,0.9976046621410029
22,0.1647745142409116,0.3027116907838091,0.1234039574467656,0.2010669767783997,0.7947934586265805,1.000798927597667,0.1182152365507478,0.395978569624943,0.9989616804700104,freq_dominated_v2,1.0,1.0,0.9975213249670736
23,0.2586428842880307,0.1691878080043123,0.1271705713851172,0.2042031829116748,0.8511510388870502,1.0997038456141013,0.0043939841792999,0.3796022232945676,0.9450904413253154,voltage_dominated,1.0,0.7803617653012616,1.0
24,0.1473948041572316,0.2130028805827315,0.1967633376370024,0.1092539857197565,0.811275146854864,0.7253420828802187,0.1109334411430447,0.333207504048361,0.7869300579164719,severe_combined,0.7097929576899153,0.730743831747457,0.9973904845385996
25,0.2845407551149914,0.0558051023410764,0.2551753358095436,0.0716896653260759,0.8362841921005433,1.0691185442912687,-0.0271655317227352,0.3336054292958437,0.9988805960931426,voltage_dominated_v2,1.0,1.0,0.996849090037479
26,0.094287039890216,0.3691285154730773,0.0138845099363346,0.2489788519836635,0.9084169068862537,0.7012380377935962,-0.1290533819326271,0.3631394586416457,0.5721241488731785,severe_combined,0.4377187639783272,0.4158679990334377,0.9971910685026218
27,0.097878474911852,0.0337590472976006,0.2066063695431679,0.0936820089030479,0.9857432106444666,0.854687492586648,-0.1408511316268222,0.2159629503278343,0.8901486097924537,severe_combined,1.0,0.6319358579162611,0.9974292985668706
28,0.2599420332506496,0.3890913354538713,0.1677632551288956,0.1627506124241678,0.8791431510223857,0.8118756063614452,-0.0510492541199276,0.4897736181287921,0.8898820191843236,severe_combined,1.0,0.5940005934111952,0.9974368154081152
29,0.192208566731203,0.2534631291414299,0.0020204293194134,0.2411979741197264,0.883330783688843,0.9405362750860068,-0.0957789963545781,0.3444450496558863,0.8877023690514703,severe_combined,1.0,0.6932883842711917,0.9974456040537124
30,0.2278205970554491,0.2379519092854032,0.1214857771298096,0.1211424278558774,0.9288058009516096,0.9619223657558492,0.0923604367287629,0.3542003556632697,0.9849998057781738,voltage_dominated,1.0,0.9446279699394786,0.997539472550668
31,0.3169780489099989,0.031813642118728,0.1985221227259762,0.1695831106314051,0.9741511450892066,1.1254487322848272,-0.1343663924498262,0.3584484621930541,0.9475344268259898,voltage_dominated,1.0,0.9479064931830125,1.0
32,0.0622300059141166,0.1434940478936974,0.000314256654544,0.0917031235254287,1.022576713109927,0.7586254779706927,-0.1314809104283,0.1488707169938934,0.9512642134661856,severe_combined,0.9053624748803792,0.9969675688195564,0.9973643352844276
33,0.1822288517266604,0.0712860869468933,0.0031514395112263,0.0813474126594399,0.9177934122580792,0.9947009165859012,0.0093670823707323,0.16900689542211,0.9936908772719322,voltage_dominated_v2,1.0,0.9786211125260174,1.0
34,0.2156157925144233,0.1496868091169196,0.0277975954068742,0.2313052018711815,0.8427089213975111,0.7043018457440476,0.1173856202594581,0.3122026994546994,0.654162968189572,severe_combined,0.4862851731577212,0.6565261110221279,0.9972509171582248
35,0.0098451123999678,0.1277716115945429,0.0544350493885275,0.0734275694859661,0.913801022270528,0.9602160523367302,0.1112360766099933,0.1327396714345022,0.9692744398748636,voltage_dominated_v2,1.0,0.8809649624773002,1.0
36,0.2036392867454531,0.1061810773096372,0.2776855600197957,0.159842388351375,1.0882783249411867,0.7750958088049363,0.1395620959628012,0.3736741562131306,0.705116671540134,severe_combined,0.6234197806868534,0.5762788246176314,0.997348300169198
37,0.0474889069029634,0.0750270857217635,0.0074470069347471,0.2050638600131615,1.0978295477591358,0.9797809456538132,0.0136236405265191,0.1675134297863178,0.8966200220485292,severe_combined,1.0,0.7880515316063885,0.997493675727272
38,0.239215656000041,0.1510852048465261,0.2979876973141114,0.2965456820381582,0.9252619007332056,1.0775569614619838,0.0985414519182014,0.4924171200994184,0.8998605422654467,severe_combined,1.0,0.8703873176473067,0.9975241589565672
39,0.1074102478305761,0.0515974301447433,0.0390815581044844,0.1422187059645684,0.8348341173835058,1.0465044480132435,0.1351207999756922,0.1701539710221862,0.9565808655492029,voltage_dominated,1.0,0.826323462196811,1.0
40,0.1289547887495146,0.133550804560452,0.1298935804681286,0.0850008952695257,1.0305014728958402,0.8625248124766618,-0.1220904407269841,0.2387000345238105,0.8885847256777257,severe_combined,1.0,0.5568129505611488,0.997525952149754
41,0.3894706221348045,0.130628000662394,0.2837591719419588,0.0518569781248333,0.9193348480889616,0.9037026936591804,-0.1279106382271309,0.4278573864319953,0.9138174236281936,freq_dominated,1.0,0.655269694512775,1.0
42,0.1804583079475633,0.0159517830526737,0.2999945701658713,0.2459483420829855,1.0080911122335283,0.7107977772837109,0.0367614471793726,0.3711765016245469,0.5864787140518967,severe_combined,0.3756762214500611,0.6047963175903668,0.9971709382666206
43,0.0826131316006039,0.1783976238523746,0.1618750763206943,0.181495469009807,0.8203822178075066,1.0605549822331353,-0.1418511310997619,0.3021906503917399,0.9463257275829032,voltage_dominated,1.0,0.7853029103316125,1.0
