mode_idx,re_level,fault_name,fault_bus,clear_time,success,stable,severity,f_angle,f_freq,f_voltage,V_min,max_angle_deg,max_freq_dev_hz,sim_time,wind_area1_pct,wind_area2_pct,solar_area1_pct,solar_area2_pct,load_area1,load_area2,gen_dispatch_bias
0,0,angle_bus7,7,0.1,True,False,0.8388059432484989,0.8185622412229899,0.7210741907348677,0.9970250998131478,0.0029749001868522064,147.34120342013819,1.442148381469739,1.5264549255371094,0.0022604395144403665,0.1956112156024795,0.05356051560066463,0.0022697397820547706,0.7664405048362639,0.7452742485440864,-0.09570854776492764
0,0,angle_bus8,8,0.1,True,False,0.5584126177099311,0.5222215481350131,0.19268264597097584,0.9965247285987227,0.0034752714012773987,93.99987866430236,0.38536529194195257,1.3095903396606445,0.0022604395144403665,0.1956112156024795,0.05356051560066463,0.0022697397820547706,0.7664405048362639,0.7452742485440864,-0.09570854776492764
0,0,voltage_bus9,9,0.1,True,False,0.5489275394315257,0.5095530548106579,0.1809405367899295,0.9956635113148576,0.004336488685142338,91.71954986591842,0.36188107357986166,1.1412620544433594,0.0022604395144403665,0.1956112156024795,0.05356051560066463,0.0022697397820547706,0.7664405048362639,0.7452742485440864,-0.09570854776492764
0,0,voltage_bus10,10,0.1,True,False,0.5232421982094978,0.48043679734755934,0.13583403889687062,0.9962611592460017,0.0037388407539983835,86.47862352256068,0.271668077793743,1.3179073333740234,0.0022604395144403665,0.1956112156024795,0.05356051560066463,0.0022697397820547706,0.7664405048362639,0.7452742485440864,-0.09570854776492764
0,0,freq_bus2,2,0.1,True,False,0.9548361983723159,0.9117635310612875,1.0,0.9958177313666885,0.0041822686333114634,164.11743559103175,2.01125912224438,1.3224246501922607,0.0022604395144403665,0.1956112156024795,0.05356051560066463,0.0022697397820547706,0.7664405048362639,0.7452742485440864,-0.09570854776492764
0,0,freq_bus4,4,0.15,True,False,0.5224947983930242,0.48043679734755934,0.13312341648317272,0.9959821823938053,0.004017817606194634,86.47862352256068,0.26624683296634366,1.2679588794708252,0.0022604395144403665,0.1956112156024795,0.05356051560066463,0.0022697397820547706,0.7664405048362639,0.7452742485440864,-0.09570854776492764
0,0,severe_bus7,7,0.2,True,False,0.8884427499142582,1.0,0.5562985781391845,0.9974724215178483,0.00252757848215173,184.19849945809867,1.1125971562783699,0.3583035469055176,0.0022604395144403665,0.1956112156024795,0.05356051560066463,0.0022697397820547706,0.7664405048362639,0.7452742485440864,-0.09570854776492764
1,0,angle_bus7,7,0.1,True,False,0.6530718685501651,0.5848689908663088,0.44547686073870096,0.9970726317293417,0.0029273682706583517,105.27641835593559,0.890953721477401,1.5795490741729736,0.0955658580117267,0.06772761278215224,0.09334061409738124,0.14202137057921868,0.9719391493150834,0.8728937755098767,0.10681434194935971
1,0,angle_bus8,8,0.1,True,False,0.49167412332441596,0.3960741993168692,0.17795686823595958,0.9965912264279658,0.0034087735720342055,71.29335587703646,0.35591373647192004,1.2272040843963623,0.0955658580117267,0.06772761278215224,0.09334061409738124,0.14202137057921868,0.9719391493150834,0.8728937755098767,0.10681434194935971
1,0,voltage_bus9,9,0.1,True,False,0.4855971980984495,0.3876498102589576,0.1713229258628175,0.9957662460130653,0.004233753986934677,69.77696584661237,0.3426458517256359,1.1526169776916504,0.0955658580117267,0.06772761278215224,0.09334061409738124,0.14202137057921868,0.9719391493150834,0.8728937755098767,0.10681434194935971
